TERM	DOID
"barth syndrome"	"DOID0050476"
"3-methylglutaconicaciduria type 2"	"DOID0050476"
"3-methylglutaconicaciduria type ii"	"DOID0050476"
"mga type 2"	"DOID0050476"
"mga type ii"	"DOID0050476"
"liddle syndrome"	"DOID0050477"
"liddle's syndrome"	"DOID0050477"
"pseudoaldosteronism"	"DOID0050477"
"epidemic typhus"	"DOID0050480"
"sylvatic typhus"	"DOID0050480"
"endemic typhus"	"DOID0050481"
"cat flea rickettsiosis"	"DOID0050481"
"fleaborne typhus"	"DOID0050481"
"murine typhus"	"DOID0050481"
"rat-flea typhus"	"DOID0050481"
"rickettsia felis spotted fever"	"DOID0050481"
"toulon typhus"	"DOID0050481"
"urban typhus"	"DOID0050481"
"urban typhus of malaya"	"DOID0050481"
"aneruptive fever"	"DOID0050484"
"rickettsia helvetica spotted fever"	"DOID0050484"
"sennetsu fever"	"DOID0050485"
"sennetsu ehrlichiosis"	"DOID0050485"
"exanthem"	"DOID0050486"
"exanthema"	"DOID0050486"
"rash"	"DOID0050486"
"bacterial exanthem"	"DOID0050487"
"early congenital syphilis"	"DOID0050488"
"multinodular goiter"	"DOID0050489"
"parenchymatous neurosyphilis"	"DOID0050490"
"meningovascular neurosyphilis"	"DOID0050491"
"exanthema subitum"	"DOID0050495"
"roseola infantum"	"DOID0050495"
"sixth disease"	"DOID0050495"
"variola major"	"DOID0050508"
"spinal polio"	"DOID0050513"
"bulbospinal polio"	"DOID0050514"
"paralytic poliomyelitis"	"DOID0050515"
"o'nyong'nyong fever"	"DOID0050516"
"barmah forest virus disease"	"DOID0050517"
"ross river fever"	"DOID0050518"
"ross river virus disease"	"DOID0050518"
"oropouche fever"	"DOID0050521"
"balkan hemorrhagic fever"	"DOID0050522"
"adult t-cell leukemia"	"DOID0050523"
"adult t-cell leukemia/lymphoma"	"DOID0050523"
"maturity-onset diabetes of the young"	"DOID0050524"
"mason-type diabetes"	"DOID0050524"
"mody"	"DOID0050524"
"gamstorp-wohlfart syndrome"	"DOID0050526"
"autosomal recessive neuromyotonia and axonal neuropathy"	"DOID0050526"
"myokymia, myotonia and muscle wasting"	"DOID0050526"
"familial hypertriglyceridemia"	"DOID0050527"
"pure hyperglyceridemia"	"DOID0050527"
"nonphotosensitive trichothiodystrophy"	"DOID0050528"
"amish brittle hair brain syndrome"	"DOID0050528"
"bids syndrome"	"DOID0050528"
"hair-brain syndrome"	"DOID0050528"
"adult spinal muscular atrophy"	"DOID0050529"
"spinal muscular atrophy, adult form"	"DOID0050529"
"spinal muscular atrophy, type iv"	"DOID0050529"
"intermediate spinal muscular atrophy"	"DOID0050530"
"muscular atrophy, spinal, infantile chronic form"	"DOID0050530"
"muscular atrophy, spinal, intermediate type"	"DOID0050530"
"congenital stationary night blindness"	"DOID0050534"
"congenital essential nyctalopia"	"DOID0050534"
"exudative vitreoretinopathy"	"DOID0050535"
"familial exudative vitreoretinopathy"	"DOID0050535"
"fevr"	"DOID0050535"
"sc phocomelia syndrome"	"DOID0050536"
"hypomelia hypotrichosis facial hemangioma syndrome"	"DOID0050536"
"sc pseudothalidomide syndrome"	"DOID0050536"
"posterior polar cataract"	"DOID0050537"
"cataract, posterior polar"	"DOID0050537"
"charcot-marie-tooth disease type 1"	"DOID0050538"
"hereditary motor and sensory neuropathy type 1"	"DOID0050538"
"charcot-marie-tooth disease type 2"	"DOID0050539"
"hereditary motor and sensory neuropathy guadalajara neuronal type"	"DOID0050539"
"hereditary motor and sensory neuropathy okinawa type"	"DOID0050539"
"hereditary motor and sensory neuropathy type 2"	"DOID0050539"
"charcot-marie-tooth disease type 3"	"DOID0050540"
"dejerine-sottas neuropathy"	"DOID0050540"
"dejerine-sottas syndrome"	"DOID0050540"
"charcot-marie-tooth disease type 4"	"DOID0050541"
"distal hereditary motor neuropathy"	"DOID0050541"
"hereditary motor and sensory neuropathy russe type"	"DOID0050541"
"spinal cmt"	"DOID0050541"
"charcot-marie-tooth disease type x"	"DOID0050542"
"cowchock syndrome"	"DOID0050542"
"cowck"	"DOID0050542"
"charcot-marie-tooth disease intermediate type"	"DOID0050543"
"charcot-marie-tooth disease dominant intermediate"	"DOID0050543"
"charcot-marie-tooth disease recessive intermediate"	"DOID0050543"
"hypermethioninemia"	"DOID0050544"
"hypermethioninemia with s-adenosylhomocysteine hydrolase deficiency"	"DOID0050544"
"visceral heterotaxy"	"DOID0050545"
"heterotaxia"	"DOID0050545"
"situs ambiguus"	"DOID0050545"
"congenital adrenal insufficiency"	"DOID0050546"
"adrenal insufficiency, congenital, with 46,xy sex reversal, partial or complete"	"DOID0050546"
"p450scc deficiency"	"DOID0050546"
"familial medullary thyroid carcinoma"	"DOID0050547"
"thyroid carcinoma, familial medullary"	"DOID0050547"
"hereditary sensory neuropathy"	"DOID0050548"
"congenital insensitivity to pain"	"DOID0050548"
"familial dysautonomia, type ii"	"DOID0050548"
"hereditary sensory and autonomic neuropathy"	"DOID0050548"
"saldino-noonan syndrome"	"DOID0050549"
"type i short rib polydactyly syndrome"	"DOID0050549"
"jmp syndrome"	"DOID0050553"
"joint contractures, muscular atrophy, microcytic anemia, and panniculitis-induced lipodystrophy"	"DOID0050553"
"x-linked sideroblastic anemia with ataxia"	"DOID0050554"
"anemia sideroblastic and spinocerebellar ataxia"	"DOID0050554"
"x-linked sideroblastic anemia and ataxia"	"DOID0050554"
"infantile onset spinocerebellar ataxia"	"DOID0050556"
"ohaha syndrome"	"DOID0050556"
"congenital muscular dystrophy"	"DOID0050557"
"ullrich congenital muscular dystrophy"	"DOID0050558"
"ullrich disease"	"DOID0050558"
"ullrich scleroatonic muscular dystrophy"	"DOID0050558"
"fukuyama congenital muscular dystrophy"	"DOID0050559"
"walker-warburg syndrome"	"DOID0050560"
"cerebroocular dysplasia-muscular dystrophy syndrome"	"DOID0050560"
"hard syndrome"	"DOID0050560"
"lennox-gastaut syndrome"	"DOID0050561"
"lennox syndrome"	"DOID0050561"
"west syndrome"	"DOID0050562"
"nonsyndromic deafness"	"DOID0050563"
"nonsyndromic hearing loss"	"DOID0050563"
"nonsyndromic hereditary hearing loss"	"DOID0050563"
"autosomal dominant nonsyndromic deafness"	"DOID0050564"
"autosomal dominant deafness"	"DOID0050564"
"autosomal recessive nonsyndromic deafness"	"DOID0050565"
"autosomal recessive deafness"	"DOID0050565"
"x-linked nonsyndromic deafness"	"DOID0050566"
"x-linked deafness"	"DOID0050566"
"orofacial cleft"	"DOID0050567"
"spondylocostal dysostosis"	"DOID0050568"
"jarcho-levin syndrome"	"DOID0050568"
"spondylocostal dysostosis, autosomal recessive 3 "	"DOID0050568"
"spondylothoracic dysostosis"	"DOID0050568"
"spondylothoracic dysplasia"	"DOID0050568"
"seckel syndrome"	"DOID0050569"
"bird-headed dwarfism"	"DOID0050569"
"harper's syndrome"	"DOID0050569"
"microcephalic primordial dwarfism"	"DOID0050569"
"virchow-seckel dwarfism"	"DOID0050569"
"congenital disorder of glycosylation type i"	"DOID0050570"
"alg1-cdg (cdg-1k)"	"DOID0050570"
"alg11-cdg (cdg-1p)"	"DOID0050570"
"alg12-cdg (cdg-1g)"	"DOID0050570"
"alg2-cdg (cdg-1i)"	"DOID0050570"
"alg3-cdg (cdg-1d)"	"DOID0050570"
"alg6-cdg (cdg-1c)"	"DOID0050570"
"alg8-cdg (cdg-1h)"	"DOID0050570"
"alg9-cdg (cdg-1l)"	"DOID0050570"
"dolk-cdg (cdg-1m)"	"DOID0050570"
"dpagt1-cdg (cdg-1j)"	"DOID0050570"
"dpm1-cdg (cdg-1e)"	"DOID0050570"
"dpm2-cdg (cdg-1u)"	"DOID0050570"
"dpm3-cdg (cdg-1o)"	"DOID0050570"
"mpdu1-cdg (cdg-1f)"	"DOID0050570"
"mpi-cdg (cdg-1b)"	"DOID0050570"
"pmm2-cdg (cdg-1a)"	"DOID0050570"
"rft1-cdg (cdg-1n)"	"DOID0050570"
"srd5a3-cdg (cdg-1q)"	"DOID0050570"
"congenital disorder of glycosylation type ii"	"DOID0050571"
"b4galt1-cdg (cdg-2d)"	"DOID0050571"
"mgat2-cdg (cdg-2a)"	"DOID0050571"
"mogs-cdg (cdg-2b)"	"DOID0050571"
"cone-rod dystrophy"	"DOID0050572"
"cone-rod dystrophy 5"	"DOID0050572"
"cone-rod retinal dystrophy"	"DOID0050572"
"2-hydroxyglutaric aciduria"	"DOID0050573"
"l-2-hydroxyglutaric aciduria"	"DOID0050574"
"l-2-hydroxyglutaric acidemia"	"DOID0050574"
"d-2-hydroxyglutaric aciduria"	"DOID0050575"
"senior-loken syndrome"	"DOID0050576"
"loken senior syndrome"	"DOID0050576"
"renal-retinal syndrome"	"DOID0050576"
"sensenbrenner syndrome"	"DOID0050577"
"cranioectodermal dysplasia"	"DOID0050577"
"levin syndrome"	"DOID0050577"
"occult macular dystrophy"	"DOID0050578"
"glycogen storage disease xv"	"DOID0050579"
"glycogen storage disease type xv"	"DOID0050579"
"hereditary lymphedema"	"DOID0050580"
"milroy's disease"	"DOID0050580"
"nonne-milroy lymphedema"	"DOID0050580"
"brachydactyly"	"DOID0050581"
"gummatous syphilis"	"DOID0050584"
"congenital generalized lipodystrophy"	"DOID0050585"
"beradinelli-seip syndrome"	"DOID0050585"
"trichotillomania"	"DOID0050587"
"muscular dystrophy-dystroglycanopathy"	"DOID0050588"
"cmd due to dystroglycanopathy"	"DOID0050588"
"inflammatory bowel disease"	"DOID0050589"
"severe congenital neutropenia"	"DOID0050590"
"tooth agenesis"	"DOID0050591"
"familial tooth agenesis"	"DOID0050591"
"hypodontia"	"DOID0050591"
"oligodontia"	"DOID0050591"
"selective tooth agenesis"	"DOID0050591"
"asphyxiating thoracic dystrophy"	"DOID0050592"
"jeune syndrome"	"DOID0050592"
"primary congenital glaucoma"	"DOID0050593"
"glycogen storage disease ix"	"DOID0050594"
"taeniasis"	"DOID0050596"
"intestinal schistosomiasis"	"DOID0050597"
"katayama fever"	"DOID0050597"
"schistosoma japonicum infection"	"DOID0050597"
"schistosoma mansoni infectious disease"	"DOID0050597"
"schistosomiasis japonica"	"DOID0050597"
"extrapulmonary tuberculosis"	"DOID0050598"
"abdominal tuberculosis"	"DOID0050599"
"abcd syndrome"	"DOID0050600"
"albinism, black lock, cell migration disorder of the neurocytes of the gut, and deafness"	"DOID0050600"
"adult syndrome"	"DOID0050601"
"acro-dermato-ungual-lacrimal-tooth syndrome"	"DOID0050601"
"triple-a syndrome"	"DOID0050602"
"achalasia-addisonianism-alacrimia syndrome"	"DOID0050602"
"allgrove syndrome"	"DOID0050602"
"acheiropody"	"DOID0050603"
"acheiropodia"	"DOID0050603"
"horn-kolb syndrome"	"DOID0050603"
"acrocapitofemoral dysplasia"	"DOID0050604"
"acrodermatitis enteropathica"	"DOID0050605"
"acrokeratosis verruciformis"	"DOID0050606"
"acrokeratosis verruciformis of hopf"	"DOID0050606"
"hopf disease"	"DOID0050606"
"askin's tumor"	"DOID0050608"
"askin tumor"	"DOID0050608"
"oral cavity carcinoma in situ"	"DOID0050610"
"pharynx carcinoma in situ"	"DOID0050611"
"gall bladder carcinoma in situ"	"DOID0050612"
"bile duct carcinoma in situ"	"DOID0050613"
"bronchus carcinoma in situ"	"DOID0050614"
"respiratory system cancer"	"DOID0050615"
"malignant leydig cell tumor"	"DOID0050616"
"leydig cell tumor, malignant (morphologic abnormality)"	"DOID0050616"
"malignant interstitial cell tumor"	"DOID0050616"
"malignant leydig cell neoplasm"	"DOID0050616"
"malignant sertoli cell tumor"	"DOID0050617"
"malignant sertoli-leydig cell tumor"	"DOID0050618"
"paranasal sinus cancer"	"DOID0050619"
"adenoid cystic carcinoma of accessory sinus"	"DOID0050619"
"epidermoid carcinoma of the paranasal sinus"	"DOID0050619"
"mucoepidermoid carcinoma of accessory sinus"	"DOID0050619"
"paranasal sinus adenocarcinoma"	"DOID0050619"
"paranasal sinus adenoid cystic carcinoma"	"DOID0050619"
"paranasal sinus mucoepidermoid carcinoma"	"DOID0050619"
"paranasal sinus squamous cell carcinoma"	"DOID0050619"
"infiltrating renal pelvis transitional cell carcinoma"	"DOID0050620"
"respiratory system benign neoplasm"	"DOID0050621"
"reproductive organ benign neoplasm"	"DOID0050622"
"bladder benign neoplasm"	"DOID0050623"
"gastrointestinal system benign neoplasm"	"DOID0050624"
"biliary tract neoplasm"	"DOID0050625"
"extrahepatic bile duct neoplasm"	"DOID0050625"
"neoplasm of extrahepatic bile ducts (disorder)"	"DOID0050625"
"tumor of the extrahepatic bile duct"	"DOID0050625"
"gastrointestinal neuroendocrine tumor"	"DOID0050626"
"malignant gastrointestinal neuroendocrine tumor"	"DOID0050626"
"advanced sleep phase syndrome"	"DOID0050628"
"familial advanced sleep-phase syndrome"	"DOID0050628"
"aicardi-goutieres syndrome"	"DOID0050629"
"cree encephalitis"	"DOID0050629"
"aland island eye disease"	"DOID0050630"
"forsius-eriksson syndrome"	"DOID0050630"
"forsius-eriksson type ocular albinism"	"DOID0050630"
"allan-herndon-dudley syndrome"	"DOID0050631"
"allan-herndon syndrome"	"DOID0050631"
"oculocutaneous albinism"	"DOID0050632"
"ocular albinism"	"DOID0050633"
"alopecia universalis"	"DOID0050634"
"alopecia universalis congenita"	"DOID0050634"
"alternating hemiplegia of childhood"	"DOID0050635"
"ahc"	"DOID0050635"
"familial visceral amyloidosis"	"DOID0050636"
"amyloidosis, familial renal"	"DOID0050636"
"german type amyloidosis"	"DOID0050636"
"ostertag type amyloidosis"	"DOID0050636"
"systemic nonneuropathic amyloidosis"	"DOID0050636"
"finnish type amyloidosis"	"DOID0050637"
"amyloidosis, meretoja type"	"DOID0050637"
"transthyretin amyloidosis"	"DOID0050638"
"amyloidosis, hereditary, transthyretin-related"	"DOID0050638"
"corino de andrade's disease"	"DOID0050638"
"familial amyloid polyneuropathy"	"DOID0050638"
